site;year;category;resistance;compensation;time_recovery;speed_recovery;e_res_fecundity;e_res_growth;e_res_shrinkage;e_res_stasis;e_rec_fecundity;e_rec_growth;e_rec_shrinkage;e_rec_stasis;i_max;duration;intensity;cat
Medes;2017;II Strong;0,8721210439119763;2,22102371936073;25,3018151643293;1,09527419608555;0,000155241707802048;-0,1374971100246742;0,00919505526034844;0,131619939579759;0,002813963830194444;0,02570156102482108;0,04408960069065427;-0,03998554194051018;2,0968;9;2,0968;MHW
Medes;2018;IV Extreme;0,7886974883122129;1,24198540744869;36,0405862080596;1,06597371653644;0,000428715143437592;-0,2510332725940586;0,01608315082521924;0,243955415926551;0,003863750506199824;0,00891833447828417;0,02760675530946725;-0,00068552035740288;2,9311;20;2,9311;MHW
Medes;2019;II Strong;0,5756162012392425;1,88830620379843;18,1806700867894;1,13501989279207;0,008063598326478126;-0,7005806361765077;0,06021679634304573;0,656685944865937;0,004389687671786594;0,03063130125034388;0,03592226965790216;-0,03381761815243883;1,5615;27;1,5615;MHW
Medes;2020;II Strong;0,7588887335081502;2,52369583566503;13,3562429860433;1,18815022406398;0,002829659535756542;-0,2912704074551945;0,03319636010535180;0,262153402219739;0,003624935894476950;0,06719493359390782;0,07368875836513761;-0,13121562416037341;3,8591;18;3,8591;MHW
Medes;2021;IV Extreme;0,8122579847760316;1,99791360803326;21,8015577095108;1,11139459952199;0,000577157949810782;-0,2235230006960333;0,00757892253435099;0,217794418122323;0,006754705937661159;-0,04032018681159783;-0,00730545540364610;0,05527105032042878;3,1522;40;3,1522;MHW
Port-Cros;2001;None;0,7021632955259411;3,37591079787532;14,4025748877919;1,17336202689856;0,001288544580245908;-0,3740794481167911;0,05161630870565631;0,325689937082257;0,015235316461143168;-0,00447522475037154;0,05412051286625137;-0,06227994556732219;NA;0;0,0000;No-MHW
Port-Cros;2006;II Strong;0,0622785733637130;4,86222071532902;16,8681586693373;1,14626041157874;0,278589410705412377;-0,4567682879609751;0,76832473108914312;6,739523285843491;0,018314530276365003;0,04133474838809476;0,08130333315082428;-0,11492102977670961;1,5684;13;1,5684;MHW
Port-Cros;2007;I Moderate;0,0469305112756503;2,80713766145182;16,0877944116731;1,15387542679390;0,466007255184473945;0,9852581638971246;1,05319463114616729;-2,043275721692723;0,014689498479389126;0,04328031366257293;0,06257686096551883;-0,09802467226765574;2,7045;6;2,7045;No-MHW
Port-Cros;2008;I Moderate;0,1099014337360710;2,44455152866421;13,3107579476231;1,18885038268644;0,171871782978060800;0,6183136666351942;0,86880784465444183;-1,531332516520381;0,031020870607400729;0,05550258771527804;0,24774605387298015;-0,12659675276585913;2,0377;6;2,0377;No-MHW
Port-Cros;2000;None;0,1502555022193701;8,02941677388442;17,0779093462267;1,14434025800801;0,054649006700999481;0,4311032074147514;-0,04610736219072875;-0,274304574163294;0,012531375525908342;0,04257398468820528;0,07075444924694754;-1,23414297213966195;NA;0;0,0000;No-MHW
Medes;2002;None;0,1636223062357507;2,97287317086996;12,8606500996464;1,19606991580775;0,076006868509512507;0,0214884673744979;0,25129697607430895;-0,272338311356394;0,007772127747120904;0,05612585707129687;0,05608690725925027;-0,10626955082496325;NA;0;0,0000;No-MHW
Medes;2003;None;0,0427294158242348;1,70462643222612;18,9882492789129;1,12892255388390;0,305284946010810854;1,1491272239524575;0,64250734508862539;-1,381224715180226;0,010284226512197320;0,04581740446094865;0,05543797621987168;-0,08066066619275714;NA;0;0,0000;No-MHW
Medes;2004;II Strong;0,2305642046037248;7,83587916440065;80,5268981258691;1,02900671973386;0,009261259131879654;-0,0645084165790683;-0,01594533675111277;0,257401448507369;0,000615910593180757;-0,01537605470779699;-0,00116969882540891;0,10236476683387197;2,5018;14;2,5018;MHW
